Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 3-24-2022  0:38AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  MCD.ngd
output file: MCD_pad.csv
Part type:   xc9572
Speed grade: -7
Package:     pc84

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,LED<7>,O,I/O,OUTPUT,,,,,,,,,
P2,LED<6>,O,I/O,OUTPUT,,,,,,,,,
P3,LED<5>,O,I/O,OUTPUT,,,,,,,,,
P4,LED<4>,O,I/O,OUTPUT,,,,,,,,,
P5,LED<3>,O,I/O,OUTPUT,,,,,,,,,
P6,LED<2>,O,I/O,OUTPUT,,,,,,,,,
P7,LED<1>,O,I/O,OUTPUT,,,,,,,,,
P8,GND,,GND,,,,,,,,,,
P9,TIE,,I/O/GCK1,,,,,,,,,,
P10,TIE,,I/O/GCK2,,,,,,,,,,
P11,LED<0>,O,I/O,OUTPUT,,,,,,,,,
P12,CPU_Clock,GCK,I/O/GCK3,,,,,,,,,,
P13,TIE,,I/O,,,,,,,,,,
P14,DUART,O,I/O,OUTPUT,,,,,,,,,
P15,TIE,,I/O,,,,,,,,,,
P16,GND,,GND,,,,,,,,,,
P17,LDS,I,I/O,INPUT,,,,,,,,,
P18,UDS,I,I/O,INPUT,,,,,,,,,
P19,AS,I,I/O,INPUT,,,,,,,,,
P20,TIE,,I/O,,,,,,,,,,
P21,TIE,,I/O,,,,,,,,,,
P22,VCC,,VCCIO,,,,,,,,,,
P23,VPA,O,I/O,OUTPUT,,,,,,,,,
P24,BGACK,O,I/O,OUTPUT,,,,,,,,,
P25,TIE,,I/O,,,,,,,,,,
P26,BR,O,I/O,OUTPUT,,,,,,,,,
P27,GND,,GND,,,,,,,,,,
P28,TDI,,TDI,,,,,,,,,,
P29,TMS,,TMS,,,,,,,,,,
P30,TCK,,TCK,,,,,,,,,,
P31,UROM,O,I/O,OUTPUT,,,,,,,,,
P32,LROM,O,I/O,OUTPUT,,,,,,,,,
P33,URAM,O,I/O,OUTPUT,,,,,,,,,
P34,LRAM,O,I/O,OUTPUT,,,,,,,,,
P35,IPL2,O,I/O,OUTPUT,,,,,,,,,
P36,IPL1,O,I/O,OUTPUT,,,,,,,,,
P37,IPL0,O,I/O,OUTPUT,,,,,,,,,
P38,VCC,,VCCINT,,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,TIE,,I/O,,,,,,,,,,
P41,TIE,,I/O,,,,,,,,,,
P42,GND,,GND,,,,,,,,,,
P43,TIE,,I/O,,,,,,,,,,
P44,TIE,,I/O,,,,,,,,,,
P45,TIE,,I/O,,,,,,,,,,
P46,TIE,,I/O,,,,,,,,,,
P47,TIE,,I/O,,,,,,,,,,
P48,TIE,,I/O,,,,,,,,,,
P49,GND,,GND,,,,,,,,,,
P50,TIE,,I/O,,,,,,,,,,
P51,TIE,,I/O,,,,,,,,,,
P52,TIE,,I/O,,,,,,,,,,
P53,TIE,,I/O,,,,,,,,,,
P54,TIE,,I/O,,,,,,,,,,
P55,TIE,,I/O,,,,,,,,,,
P56,TIE,,I/O,,,,,,,,,,
P57,TIE,,I/O,,,,,,,,,,
P58,TIE,,I/O,,,,,,,,,,
P59,TDO,,TDO,,,,,,,,,,
P60,GND,,GND,,,,,,,,,,
P61,TIE,,I/O,,,,,,,,,,
P62,TIE,,I/O,,,,,,,,,,
P63,TIE,,I/O,,,,,,,,,,
P64,VCC,,VCCIO,,,,,,,,,,
P65,TIE,,I/O,,,,,,,,,,
P66,A_Enable<0>,O,I/O,OUTPUT,,,,,,,,,
P67,A_Enable<1>,O,I/O,OUTPUT,,,,,,,,,
P68,TIE,,I/O,,,,,,,,,,
P69,TIE,,I/O,,,,,,,,,,
P70,TIE,,I/O,,,,,,,,,,
P71,TIE,,I/O,,,,,,,,,,
P72,TIE,,I/O,,,,,,,,,,
P73,VCC,,VCCINT,,,,,,,,,,
P74,TIE,,I/O/GSR,,,,,,,,,,
P75,TIE,,I/O,,,,,,,,,,
P76,TIE,,I/O/GTS1,,,,,,,,,,
P77,TIE,,I/O/GTS2,,,,,,,,,,
P78,VCC,,VCCINT,,,,,,,,,,
P79,TIE,,I/O,,,,,,,,,,
P80,READ_ENABLE,O,I/O,OUTPUT,,,,,,,,,
P81,WRITE_ENABLE,O,I/O,OUTPUT,,,,,,,,,
P82,RW,I,I/O,INPUT,,,,,,,,,
P83,BERR,O,I/O,OUTPUT,,,,,,,,,
P84,TIE,,I/O,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


